category,period,amount,actual_roi
MAINE,2004-01,7305731,1.1562656769048847
MAINE,2012-01,8889996,0.9661982975020461
MAINE,2013-01,8789329,1.1285423494785551
MAINE,2014-01,9161773,1.1584162803422438
MAINE,2015-01,8605330,1.036169327614397
MAINE,2016-01,8917608,0.9885800093477982
MAINE,2017-01,9150721,1.2171820122152124
MAINE,2018-01,9370699,1.193862485605396
MAINE,2019-01,9719601,1.1609986870860234
MARYLAND,1992-01,13004350,1.0558158616155364
MARYLAND,1993-01,13537324,1.0963397935958392
MARYLAND,1994-01,14202580,1.0970740527425298
MARYLAND,1995-01,15069402,1.0902714653176018
MARYLAND,1996-01,15554009,1.031319449538701
MARYLAND,1997-01,16199545,1.2425331699131057
MARYLAND,1998-01,16578483,1.2401073125930762
MARYLAND,1999-01,17593437,1.1147721732825713
MARYLAND,2000-01,19370058,1.103026124134476
MARYLAND,2001-01,21474574,0.9750453256954015
MARYLAND,2002-01,23317261,0.8915236227788504
MARYLAND,2003-01,24592128,0.8865211664480601
MARYLAND,2004-01,25202230,1.132285436645884
MARYLAND,2012-01,38930310,0.9270870178018105
MARYLAND,2013-01,39494734,1.0780261743249113
MARYLAND,2014-01,41172771,1.0691388976466996
MARYLAND,2015-01,43311212,0.97023909190073
MARYLAND,2016-01,43902288,0.9692629003754885
MARYLAND,2017-01,45683724,1.0914592689510163
MARYLAND,2018-01,46334862,1.0806649861177962
MARYLAND,2019-01,48598727,1.0574191994782085
MASSACHUSETTS,1992-01,20367654,1.0043142425730522
MASSACHUSETTS,1993-01,21556575,1.0012844340995728
MASSACHUSETTS,1994-01,22454018,0.9930654727363272
MASSACHUSETTS,1995-01,24282382,0.9925115254343664
MASSACHUSETTS,1996-01,24949729,1.0098996666456779
MASSACHUSETTS,1997-01,25790660,1.0289762650509913
MASSACHUSETTS,1998-01,27194316,1.0382568916239703
MASSACHUSETTS,1999-01,28030302,1.003196255252619
MASSACHUSETTS,2000-01,29478165,1.0859069077060937
MASSACHUSETTS,2001-01,32435081,0.9034635369031451
MASSACHUSETTS,2002-01,32847974,0.8184750755099842
MASSACHUSETTS,2003-01,32710435,0.9284893031841368
MASSACHUSETTS,2004-01,36981953,1.1295797709764004
MASSACHUSETTS,2012-01,55628081,0.8831034635187218
MASSACHUSETTS,2013-01,56369796,1.0130669977943507
MASSACHUSETTS,2014-01,59856963,1.0214347326642683
MASSACHUSETTS,2015-01,61499719,0.948627456330329
MASSACHUSETTS,2016-01,64190467,0.9317295977921457
MASSACHUSETTS,2017-01,65392160,1.0464957878742651
MASSACHUSETTS,2018-01,67437097,1.0545770379172756
MASSACHUSETTS,2019-01,69274063,1.035297539859904
MICHIGAN,1992-01,25527211,1.0302006357059532
MICHIGAN,1993-01,27050527,1.0516954068953999
MICHIGAN,1994-01,29305100,1.0856218542165015
MICHIGAN,1995-01,34668698,1.0190268466384287
MICHIGAN,1996-01,35079667,1.0723473230233342
MICHIGAN,1997-01,36092175,1.2609165560124875
MICHIGAN,1998-01,37409791,1.0710834230536064
MICHIGAN,1999-01,38798045,1.2042981547137233
MICHIGAN,2000-01,42748895,1.1581928374990746
MICHIGAN,2001-01,46537374,0.924906506327581
MICHIGAN,2002-01,49027432,0.896143897563307
MICHIGAN,2003-01,51016280,0.981580840468964
MICHIGAN,2004-01,52489571,1.058444486048476
MICHIGAN,2012-01,61726983,1.0527410354722828
MICHIGAN,2013-01,62945176,1.0854703782224708
MICHIGAN,2014-01,66319103,1.0696005794891406
MICHIGAN,2015-01,67661561,0.9896545248194909
MICHIGAN,2016-01,70110424,1.0175055994526576
MICHIGAN,2017-01,72071461,1.1026251847454571
MICHIGAN,2018-01,76304872,1.0699806691242468
MICHIGAN,2019-01,80474939,0.9758082948034295
MINNESOTA,1992-01,13526177,1.1156482722353849
MINNESOTA,1993-01,14295081,1.1364028647336801
MINNESOTA,1994-01,15278260,1.124578256948108
MINNESOTA,1995-01,16379809,1.1190142693361076
MINNESOTA,1996-01,17325287,1.1847000860649524
MINNESOTA,1997-01,18443264,1.2406497027857977
MINNESOTA,1998-01,18418302,1.3306741305468877
MINNESOTA,1999-01,20387584,1.2306110424854657
MINNESOTA,2000-01,23326005,1.1527281246831593
MINNESOTA,2001-01,24612196,1.0618913078702932
MINNESOTA,2002-01,26692608,0.8406261763556412
MINNESOTA,2003-01,28898514,0.8857309064403796
MINNESOTA,2004-01,28226351,1.0524994888641468
MINNESOTA,2012-01,38233383,0.9938161632205029
MINNESOTA,2013-01,39556269,1.190634435214302
MINNESOTA,2014-01,42501434,1.159451184635323
MINNESOTA,2015-01,43075825,1.091807806350778
MINNESOTA,2016-01,46326308,0.9563536554650546
MINNESOTA,2017-01,47247086,1.137368281294639
MINNESOTA,2018-01,49784361,1.1753831891103312
MINNESOTA,2019-01,50944993,1.12403462299033
MISSISSIPPI,1992-01,5762085,1.0720752991321718
MISSISSIPPI,1993-01,6217303,1.154876961923844
MISSISSIPPI,1994-01,6796348,1.1325001309526823
MISSISSIPPI,1995-01,7413908,1.1196157276297467
MISSISSIPPI,1996-01,8216867,1.0788616877941435
MISSISSIPPI,1997-01,9005740,1.0438231616724445
MISSISSIPPI,1998-01,9335836,1.1366141179001001
MISSISSIPPI,1999-01,9926812,1.0779812290189439
MISSISSIPPI,2000-01,10972174,1.1101754310494893
MISSISSIPPI,2001-01,11727422,0.9970604792766902
MISSISSIPPI,2002-01,12742438,0.8673734963434784
MISSISSIPPI,2003-01,13502885,0.991863664690916
MISSISSIPPI,2004-01,14263288,1.0762649537750342
MISSISSIPPI,2012-01,20051299,0.9358597664919365
MISSISSIPPI,2013-01,20101927,1.1016573187237224
MISSISSIPPI,2014-01,20173971,1.1532838527427247
MISSISSIPPI,2015-01,21139895,1.0091420510839813
MISSISSIPPI,2016-01,21860791,0.9528244883728132
MISSISSIPPI,2017-01,21859932,1.1313623024993857
MISSISSIPPI,2018-01,21831201,1.0919895336953749
MISSISSIPPI,2019-01,22361490,1.0597315742376738
MISSOURI,1992-01,10445849,1.1123314150912962
MISSOURI,1993-01,10893557,1.1528619164520826
MISSOURI,1994-01,11548995,1.156696838123144
MISSOURI,1995-01,12482046,1.248700253147601
MISSOURI,1996-01,12944475,1.317225070927944
MISSOURI,1997-01,14229714,1.1666169819013932
MISSOURI,1998-01,15313244,1.2421036979493045
MISSOURI,1999-01,16524873,1.18032253561041
MISSOURI,2000-01,17293111,1.174410145172838
MISSOURI,2001-01,18888113,1.0659580975611487
MISSOURI,2002-01,20840783,0.9157696234349736
MISSOURI,2003-01,21566197,1.021214774213553
